date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots,sigma_factor,achieved_daily_sigma_ratio
2025-02-01,greedy,error_scaled_frozen_contract_and_soc,26709.12435609976,26709.12435609976,0.0,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,0.0,0,0,5429.122413608657,3294.6341552175218,18238.77568816537,14773.408307413953,10800.0,10800.0,2136.3403430335075,10800.0,0.0005884999991394,2.273736754432321e-13,0,0.5,0.5
2025-02-01,mpc,error_scaled_frozen_contract_and_soc,27227.044215992617,26709.12435609976,517.919859892857,49023.022603149024,43233.888007593465,5789.134595555555,6312.826350179821,81.20556666666666,7,4,5630.629973543972,3027.2039128424485,19013.137963462268,15400.642333604428,10800.0,10799.999352000015,1833.9330135569408,10800.0,0.995517999996082,1.1368683772161605e-13,0,0.5,0.5
2025-02-02,greedy,error_scaled_frozen_contract_and_soc,60814.31655276092,60814.31655276092,0.0,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,0.0,0,0,9641.768366136586,0.0,21510.99161059784,17423.903204584254,10800.0,10800.0,1791.7670388007075,10800.0,0.0003232000017305,1.1368683772161605e-13,0,0.5,0.5000000000000001
2025-02-02,mpc,error_scaled_frozen_contract_and_soc,60937.79430734782,60814.31655276092,123.47775458690376,95447.25993643588,89758.78041945177,5688.479516984126,6331.734526354028,21.756042857142692,3,2,9378.642201539267,61.31133095238158,22687.683503766588,18377.02422125092,10800.0,10799.999352000015,1507.3586305714334,10800.0,0.9488034000096376,1.1368683772161605e-13,0,0.5,0.5000000000000001
2025-02-03,greedy,error_scaled_frozen_contract_and_soc,59761.37374098951,59761.37374098951,0.0,94059.0925764356,88351.30972611814,5707.78285031746,6325.635568520695,0.0,0,0,7977.645497926698,0.0,21773.10900343029,17636.218292778536,10800.0,10800.0,1753.3478417107567,10800.0,0.0007578999939141,1.4921397450962106e-13,0,0.5,0.4999999999999999
2025-02-03,mpc,error_scaled_frozen_contract_and_soc,60034.544736682365,59761.37374098951,273.1709956928579,94059.0925764356,88351.30972611814,5707.78285031746,6325.635568520695,49.79740595238105,6,3,7778.6373056104,83.29401309523786,22644.22567907993,18341.823383254727,10800.0,10799.999352000015,1507.3586305714325,10800.0,1.0456376999936765,2.273736754432321e-13,0,0.5,0.4999999999999999
2025-02-04,greedy,error_scaled_frozen_contract_and_soc,60256.86003817031,60256.86003817031,0.0,94763.34714999804,89031.03173301392,5732.3154169841255,6307.104330743882,0.0,0,0,7772.670238314709,0.0,22091.44722314542,17894.07225074779,10800.0,10800.0,1868.9890718694885,10800.0,0.0002436999930068,1.2789769243681806e-13,0,0.5,0.5
2025-02-04,mpc,error_scaled_frozen_contract_and_soc,61065.309545413766,60256.86003817031,808.4495072434561,94763.34714999804,89031.03173301392,5732.3154169841255,6307.104330743882,160.59045714285793,15,6,7910.169226379769,0.0,22388.53204460417,18168.06560312874,10800.0,10762.939281111818,1430.6275893919817,10800.0,1.025771700005862,2.273736754432321e-13,0,0.5,0.5
2025-02-05,greedy,error_scaled_frozen_contract_and_soc,58582.167117194185,58582.167117194185,0.0,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,0.0,0,0,6328.921787066427,0.0,22452.72036230198,18186.7034934646,10800.0,10800.0,1688.6315133333324,10800.0,0.0002646000066306,2.273736754432321e-13,0,0.5,0.5000000000000001
2025-02-05,mpc,error_scaled_frozen_contract_and_soc,59661.08090567216,58582.167117194185,1078.9137884779757,92567.5088404276,87805.56615709428,4761.942683333333,4566.75086750565,200.58649880952373,21,9,6481.47637519395,19.47740000000033,22616.483897983984,18321.912518464604,10800.0,10797.154932113795,1541.3565484285743,10800.0,1.040839799999958,2.273736754432321e-13,0,0.5,0.5000000000000001
2025-02-06,greedy,error_scaled_frozen_contract_and_soc,58974.03607680656,58974.03607680656,0.0,92802.98276806748,88839.82339822622,3963.159369841271,3251.412147611388,0.0,0,0,6324.162438815409,0.0,22380.55204618892,18128.247157413025,10800.0,10800.0,1720.6977341269862,10800.0,0.0002632999967318,2.273736754432321e-13,0,0.5,0.4999999999999999
2025-02-06,mpc,error_scaled_frozen_contract_and_soc,59358.78738442739,58974.03607680656,384.7513076208365,92802.98276806748,88839.82339822622,3963.159369841271,3251.412147611388,71.69672380952437,10,7,6054.298497366241,191.86469404761945,23168.42864835237,18766.427788365407,10800.0,10799.999352000015,1497.4701566356655,10800.0,1.0881171000073664,1.1368683772161605e-13,0,0.5,0.4999999999999999
2025-02-07,greedy,error_scaled_frozen_contract_and_soc,24137.83848105902,24137.83848105902,0.0,45454.33012959417,42149.74573197513,3304.584397619048,1942.5968872038493,0.0,0,0,3635.073509856251,3140.7650187445724,19287.916233298343,15623.21214897166,10800.0,10800.0,1628.8009470899456,10800.0,0.0003331000043544,2.273736754432321e-13,0,0.5,0.4999999999999999
